Group;start_interaction;end_interaction;Start Recording;End Recording;Recording Duration;Link to Video;Valid for Blinks?;Valid for gaze?;P Flying;Which Flying ;Group Formation;TODO;Name in Nova;interrater agreement - Cronbach's alpha (Nova);Annotation Freq - Laura:Helen;Notes
DYAD_2023_11_06_Seminar_Munich_Session_1_Group_1_TS;2023-11-06 16:16:48.000;2023-11-06 16:26:55.000;2023-11-06 16:16:26.022000;2023-11-06 16:35:49.304;1163.282;2024_02_23_DYAD_2023_11_06_Seminar_Munich_Session_1_Group_1_NTPts_2023-11-06__15-16-26.005.mp4;1;0;;;;added to nova folder;recording_dyad_01;0,967;90:90;The blue Participant is hovering up in the Air through the whole recording.
DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_TS;2023-11-06 17:11:36.000;2023-11-06 17:19:50.000;2023-11-06 17:09:30.404000;2023-11-06 17:20:31.967;661.563;2024_02_23_DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_NTPts_2023-11-06__16-09-26.419.mp4;1;0;;;;added to nova folder;recording_dyad_02;0,775;90:90;They are looking at the Teacher all the time.
DYAD_2023_12_19_Seminar_Wue_Session_2_Group_2_TS;2023-12-19 11:27:21.000;2023-12-19 11:39:24.000;2023-12-19 11:27:13.950000;2023-12-19 11:39:24.731;730.781;2024_02_22_DYAD_2023_12_19_Seminar_Wue_Session_2_Group_2_NTPts_2023-12-19__10-27-14.154.mp4;1;1;;;;added to nova folder;recording_dyad_03;0,706;90:90;
DYAD_2023_12_19_Seminar_Wue_Session_2_Group_4_TS;2023-12-19 11:27:30.000;2023-12-19 11:38:30.000;2023-12-19 11:27:13.885000;2023-12-19 11:39:24.836;730.951;2024_02_22_DYAD_2023_12_19_Seminar_Wue_Session_2_Group_4_NTPts_2023-12-19__10-27-14.299.mp4;1;1;;;;added to nova folder;recording_dyad_04;0,892;90:90;People look at the floor a lot in the end. This could be an indicator for noisy data. In General it seems like they would look at each other but the video shows them looking past each other.
DYAD_2023_12_19_Seminar_Wue_Session_2_Group_5_TS;2023-12-19 11:29:30.000;2023-12-19 11:39:24.000;;;;-;0;0;;;;"not synced, confirmed by laura;";;;;Seems like the recording of two participants of thwo different Groups. At the beginning (01:32) there is a different Person talking that is not the Teacher. They are often times speaking at the same time and about different things(06:00, 06:35 -> 07:00).
DYAD_2023_12_19_Seminar_Wue_Session_4_Group_1_TS;2023-12-19 15:17:50.000;2023-12-19 15:28:46.000;2023-12-19 15:17:28.471000;2023-12-19 15:28:56.772;688.301;2024_02_22_DYAD_2023_12_19_Seminar_Wue_Session_4_Group_1_NTPts_2023-12-19__14-17-29.182.mp4;1;1;;;;added to nova folder;recording_dyad_05;0,848;90:90;
DYAD_2023_12_19_Seminar_Wue_Session_4_Group_2_TS;2023-12-19 15:19:50.000;2023-12-19 15:28:55.000;2023-12-19 15:17:28.305000;2023-12-19 15:28:56.581;688.276;2024_11_25_DYAD_2023_12_19_Seminar_Wue_Session_4_Group_2_NTPts_2023-12-19__14-17-28.732.mp4;1;1;;;;added to nova folder;recording_dyad_06;0,837;90:90;In the beginning they talk ca 2 min about some technical stuff. There is a delay in the Voice recording. You can hear the voice of one of the Participants ca 1 sec in the background before you can hear it in the recording, whlie the girl reacts instant to the voice in the background.
DYAD_2023_12_19_Seminar_Wue_Session_4_Group_5_TS;2023-12-19 15:18:00.000;2023-12-19 15:28:50.000;2023-12-19 15:17:28.361000;2023-12-19 15:28:56.689;688.328;2024_02_22_DYAD_2023_12_19_Seminar_Wue_Session_4_Group_5_NTPts_2023-12-19__14-17-28.097.mp4;1;1;;;;added to nova folder;recording_dyad_07;0,848;90:90;
DYAD_2024_05_07_Seminar_Wue_Session_2_Group_1_TS;2024-05-07 13:16:40.000;2024-05-07 13:30:15.000;2024-05-07 13:16:10.778000;2024-05-07 13:31:11.390;900.612;2024_11_13_DYAD_2024_05_07_Seminar_Wue_Session_2_Group_1_NTPts_2024-05-07__11-16-09.633.mp4;1;0;;;;added to nova folder;recording_dyad_08;0,807;60:90;They talk in the first 30 Seconds about their positions not beeing correct. Then they decide to do the task anywasy.
DYAD_2024_06_14_Seminar_Wue_Session_1_Group_2_TS;2024-06-14 11:34:05.000;2024-06-14 11:43:35.000;2024-06-14 11:31:00.349000;2024-06-14 11:44:16.320;795.971;2024_11_15_DYAD_2024_06_14_Seminar_Wue_Session_1_Group_2 _NTPts_2024-06-14__09-31-00.624_trim.mp4;1;0;0;;Line;added to nova folder;recording_dyad_09;0,829;60:90;In the first half of the Video they dont know, what to do. Their avatars are glitching in and out of them at times.
